Month,Solar Capacity,Monthly Solar Generation(Mu's)
Apr-23,15.63,1.42
May-23,15.82,1.47
Jun-23,16.58,1.15
Jul-23,16.74,0.62
Aug-23,16.94,1.07
Sep-23,17.05,1.05
Oct-23,17.17,1.31
Nov-23,17.25,1.1
Dec-23,18.06,1.12
Jan-24,19.34,1.26
Feb-24,20.43,1.43
Mar-24,21.27,2.02
Apr-24,21.38,2.47
May-24,22.02,2.02
Jun-24,22.12,1.56
Jul-24,22.58,0.84
Aug-24,23.1,1.31
Sep-24,23.36,1.47
Oct-24,23.95,1.83
Nov-24,24.17,1.68
Dec-24,24.34,1.57
Jan-25,24.59,1.68
Feb-25,24.92,1.72
Mar-25,25.27,2.27
